technology,global_cycle_seconds,resolution,energy,area,action
32nm,1e-9,9,2.58333333333,1500,convert|read
32nm,1e-9,9,0,1500,write|update|leak
# Energy: 3.1*10^-3 W / (1.2*10^9 ADC BW) * 10 ^ 12 J->pJ
# Newton's adapative ADC resolution table:
# 9,9,7,5,1,0,9,3
# 9,9,8,6,2,0,9,4
# 9,9,9,7,3,1,9,5
# 9,9,9,8,4,2,9,6
# 8,9,9,9,5,3,9,7
# 7,9,9,9,6,4,9,8
# 6,8,9,9,7,5,9,9
# 5,7,9,9,8,6,9,9
# 4,6,9,9,9,7,8,9
# 3,5,9,9,9,8,7,9
# 2,4,8,9,9,9,6,9
# 1,3,7,9,9,9,5,9
# 0,2,6,8,9,9,4,9
# 0,1,5,7,9,9,3,9
# 0,0,4,6,9,9,2,8
# 0,0,3,5,9,9,1,7
 
# Newton assumes a linear scaling: 9-bit ADC uses X/9 power for X-bit convert.
# Matches with the table above:
#    Sum of this table is 832. Sum of full-resolution (all table entries = 9)
#    is 1152. This is a 40% reduction, matching with the reported 40%
#    ADC power reduction in the paper.
