COMPONENT: wan_variable_precision_adc
# 0.35 * n_steps
technology,n_steps,global_cycle_seconds,voltage,energy,area,  action
130nm,     1,      1e-6,                1.8,    0.3,  400,   read
130nm,     *,      1e-6,                1.8,    0,     400,   leak
130nm,     *,      1e-6,                1.8,    0,     400,   write|update

COMPONENT: wan_shift_add
# 0.1 * n_steps
technology,n_steps,global_cycle_seconds,resolution, voltage,energy,area,  action
130nm,     1,      1e-6,                8,          1.8,    0.1,   170,  read
130nm,     *,      1e-6,                8,          1.8,    0,     170,  leak
130nm,     *,      1e-6,                8,          1.8,    0,     170,  write|update

COMPONENT: wan_analog_integrator
# 1.2 + 0.25 * n_steps
# We have to specify each n_steps because the plug-in does not
# scale the 1.2 part
technology,n_steps,global_cycle_seconds,voltage,energy,area, action
# 130nm,     0,      1e-6,                1.8,    1.2,   350,  read
# 130nm,     1,      1e-6,                1.8,    1.45,  350,  read
# 130nm,     2,      1e-6,                1.8,    1.7,   350,  read
# 130nm,     3,      1e-6,                1.8,    1.95,  350,  read
# 130nm,     4,      1e-6,                1.8,    2.2,   350,  read
# 130nm,     5,      1e-6,                1.8,    2.45,  350,  read
# 130nm,     6,      1e-6,                1.8,    2.7,   350,  read
# 130nm,     7,      1e-6,                1.8,    2.95,  350,  read
# 130nm,     8,      1e-6,                1.8,    3.2,   350,  read
# 130nm,     9,      1e-6,                1.8,    3.45,  350,  read
# 130nm,     10,     1e-6,                1.8,    3.7,   350,  read
# 130nm,     11,     1e-6,                1.8,    3.95,  350,  read
# 130nm,     12,     1e-6,                1.8,    4.2,   350,  read
# 130nm,     13,     1e-6,                1.8,    4.45,  350,  read
# 130nm,     14,     1e-6,                1.8,    4.7,   350,  read
# 130nm,     15,     1e-6,                1.8,    4.95,  350,  read
# 130nm,     16,     1e-6,                1.8,    5.2,   350,  read
# 130nm,     17,     1e-6,                1.8,    5.45,  350,  read
# 130nm,     18,     1e-6,                1.8,    5.7,   350,  read
# 130nm,     19,     1e-6,                1.8,    5.95,  350,  read
# 130nm,     20,     1e-6,                1.8,    6.2,   350,  read
# 130nm,     21,     1e-6,                1.8,    6.45,  350,  read
# 130nm,     22,     1e-6,                1.8,    6.7,   350,  read
# 130nm,     23,     1e-6,                1.8,    6.95,  350,  read
# 130nm,     24,     1e-6,                1.8,    7.2,   350,  read
# 130nm,     25,     1e-6,                1.8,    7.45,  350,  read
# 130nm,     26,     1e-6,                1.8,    7.7,   350,  read
# 130nm,     27,     1e-6,                1.8,    7.95,  350,  read
# 130nm,     28,     1e-6,                1.8,    8.2,   350,  read
# 130nm,     29,     1e-6,                1.8,    8.45,  350,  read
# 130nm,     30,     1e-6,                1.8,    8.7,   350,  read
# 130nm,     31,     1e-6,                1.8,    8.95,  350,  read
130nm,     1,      1e-6,                 1.8,   0.25,  350,  read
130nm,     *,      1e-6,                1.8,    0,     350,  leak
130nm,     *,      1e-6,                1.8,    0,     350,  write|update

COMPONENT: wan_analog_sample
# 1.2 
technology,global_cycle_seconds,voltage,energy,area,  action
130nm,     1e-6,                1.8,    1.2,   350,  read
130nm,     1e-6,                1.8,    0,     350,  leak
130nm,     1e-6,                1.8,    0,     350,  write|update
